"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","x","y","geometry"
"2161",0.59375,"XX",2023-12-10,2023,12,2024,"S86-019",944499.999998766,6345499.99999988,c(944499.999998766, 6345499.99999988)
"2162",0.828125,"XX",2023-12-11,2023,12,2024,"S86-019",938499.999998775,6354499.99999988,c(938499.999998775, 6354499.99999988)
"2163",0.96875,"XX",2023-12-11,2023,12,2024,"S86-066",914499.99999881,6275499.99999991,c(914499.99999881, 6275499.99999991)
"2164",0.817708313,"XY",2023-12-11,2023,12,2024,"S86-130",979499.999998713,6460499.99999984,c(979499.999998713, 6460499.99999984)
"2166",0.890625,"XX",2023-12-12,2023,12,2024,"S74-093",964499.999998736,6265499.99999991,c(964499.999998736, 6265499.99999991)
"2167",1,"XY",2023-12-12,2023,12,2024,"S86-082",944499.999998766,6345499.99999988,c(944499.999998766, 6345499.99999988)
"2168",0.9375,"XX",2023-12-12,2023,12,2024,"S86-040",959499.999998743,6325499.99999989,c(959499.999998743, 6325499.99999989)
"2170",0.942708313,"XX",2023-12-12,2023,12,2024,"S86-087",944499.999998766,6345499.99999988,c(944499.999998766, 6345499.99999988)
"2171",0.901041687,"XY",2023-12-12,2023,12,2024,"S86-083",944499.999998766,6345499.99999988,c(944499.999998766, 6345499.99999988)
"2172",0.802083313,"XY",2023-12-12,2023,12,2024,"S85-021",943499.999998767,6344499.99999988,c(943499.999998767, 6344499.99999988)
"2173",0.682291687,"XX",2023-12-12,2023,12,2024,"S80-013",938499.999998775,6429499.99999985,c(938499.999998775, 6429499.99999985)
"2174",0.682291687,"XY",2023-12-13,2023,12,2024,"S86-021",904499.999998825,6355499.99999988,c(904499.999998825, 6355499.99999988)
"2175",1,"XX",2023-12-13,2023,12,2024,"S81-129",959499.999998743,6635499.99999978,c(959499.999998743, 6635499.99999978)
"2176",0.848958313,"XY",2023-12-13,2023,12,2024,"S86-021",904499.999998825,6355499.99999988,c(904499.999998825, 6355499.99999988)
"2178",0.994791687,"XX",2023-12-13,2023,12,2024,"S77-028",898499.999998834,6359499.99999988,c(898499.999998834, 6359499.99999988)
"2179",1,"XX",2023-12-13,2023,12,2024,"S77-028",901499.99999883,6358499.99999988,c(901499.99999883, 6358499.99999988)
"2180",0.979166687,"XY",2023-12-13,2023,12,2024,"S86-021",901499.99999883,6358499.99999988,c(901499.99999883, 6358499.99999988)
"2181",0.859375,"XY",2023-12-13,2023,12,2024,"S79-027",914499.99999881,6380499.99999987,c(914499.99999881, 6380499.99999987)
"2183",1,"XY",2023-12-15,2023,12,2024,"S86-022",954499.999998751,6465499.99999984,c(954499.999998751, 6465499.99999984)
"2185",0.515625,"XY",2023-12-15,2023,12,2024,"S86-022",954499.999998751,6465499.99999984,c(954499.999998751, 6465499.99999984)
"2191",0.510416687,"NI",2023-12-16,2023,12,2024,"S86-090",919499.999998803,6330499.99999989,c(919499.999998803, 6330499.99999989)
"2192",0.9375,"XY",2023-12-17,2023,12,2024,"S65-35",946499.999998763,6413499.99999986,c(946499.999998763, 6413499.99999986)
"2194",0.958333313,"XY",2023-12-18,2023,12,2024,"S87-119",974499.999998721,6390499.99999987,c(974499.999998721, 6390499.99999987)
"2195",1,"XX",2023-12-18,2023,12,2024,"S81-136",948499.99999876,6429499.99999985,c(948499.99999876, 6429499.99999985)
"2197",0.979166687,"XX",2023-12-18,2023,12,2024,"S83-029",989499.999998698,6345499.99999988,c(989499.999998698, 6345499.99999988)
"2198",0.96875,"XY",2023-12-18,2023,12,2024,"S65-23",974499.999998721,6320499.99999989,c(974499.999998721, 6320499.99999989)
"2199",1,"XY",2023-12-19,2023,12,2024,"S86-081",904499.999998825,6240499.99999992,c(904499.999998825, 6240499.99999992)
"2201",0.869791687,"XY",2023-12-19,2023,12,2024,"S86-138",919499.999998803,6250499.99999992,c(919499.999998803, 6250499.99999992)
"2202",1,"XY",2023-12-19,2023,12,2024,"S84-005",959499.999998743,6440499.99999985,c(959499.999998743, 6440499.99999985)
"2204",0.958333313,"XX",2023-12-19,2023,12,2024,"S87-120",984499.999998706,6405499.99999986,c(984499.999998706, 6405499.99999986)
"2205",0.979166687,"XY",2023-12-19,2023,12,2024,"S86-085",979499.999998713,6435499.99999985,c(979499.999998713, 6435499.99999985)
"2207",1,"XY",2023-12-20,2023,12,2024,"S84-005",953499.999998752,6444499.99999985,c(953499.999998752, 6444499.99999985)
"2208",1,"XX",2023-12-20,2023,12,2024,"S86-047",969499.999998728,6380499.99999987,c(969499.999998728, 6380499.99999987)
"2209",0.895833313,"XX",2023-12-20,2023,12,2024,"S86-032",949499.999998758,6440499.99999985,c(949499.999998758, 6440499.99999985)
"2210",0.807291687,"XY",2023-12-20,2023,12,2024,"S73-070",938499.999998775,6429499.99999985,c(938499.999998775, 6429499.99999985)
"2211",1,"XX",2023-12-20,2023,12,2024,"S86-032",949499.999998758,6440499.99999985,c(949499.999998758, 6440499.99999985)
