"","date","Type","N°Ref","G+","G_session","G_sp","MODIF","GENOTYPE_TRANS","INDEX_CAL","SEQULG_ANTAGENE_DEF_SEXE","µsat_HMbrut_SEXE","Cause_mort","Age","date1","Year","mois","saisonyear","Id","SEXE","geometry","x","y"
"35",2024-11-14,"F","F0424348",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-041",1,"M","XY",NA,NA,2024-11-14,2025,11,2025,"S92-041","M",c(929352.499848407, 6338001.64307065),929352.499848407,6338001.64307065
"36",2024-11-15,"F","F2624221",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-058",0.90625,"M","XY",NA,NA,2024-11-15,2025,11,2025,"S92-058","M",c(909352.499848407, 6393001.64307065),909352.499848407,6393001.64307065
"37",2024-11-15,"F","F0424349",TRUE,2025-02-10,"Canis lupus",FALSE,"S86-040",0.588541686534882,"F","XX",NA,NA,2024-11-15,2025,11,2025,"S86-040","F",c(959352.499848407, 6323001.64307065),959352.499848407,6323001.64307065
"38",2024-11-15,"F","F8324209",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-065",0.817708313465118,"M","XY",NA,NA,2024-11-15,2025,11,2025,"S92-065","M",c(959352.499848407, 6283001.64307065),959352.499848407,6283001.64307065
"39",2024-11-16,"F","F3824193",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-015",0.942708313465118,"F","XX",NA,NA,2024-11-16,2025,11,2025,"S92-015","F",c(920102.499848407, 6415001.64307065),920102.499848407,6415001.64307065
"40",2024-11-16,"F","F0624181",TRUE,2025-07-07,"Canis lupus",FALSE,"S95-066",0.958333313465118,"F","XX",NA,NA,2024-11-16,2025,11,2025,"S95-066","F",c(1064352.49984841, 6343001.64307065),1064352.49984841,6343001.64307065
"41",2024-11-17,"F","F0424350",TRUE,2025-02-10,"Canis lupus",FALSE,"S88-010",0.859375,"M","XY",NA,NA,2024-11-17,2025,11,2025,"S88-010","M",c(964352.499848407, 6323001.64307065),964352.499848407,6323001.64307065
"42",2024-11-17,"F","F8324206",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-048",0.942708313465118,"M","XY",NA,NA,2024-11-17,2025,11,2025,"S92-048","M",c(984352.499848407, 6263001.64307065),984352.499848407,6263001.64307065
"43",2024-11-18,"P","P0424005",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-133",1,"M","XY",NA,NA,2024-11-18,2025,11,2025,"S92-133","M",c(969352.499848407, 6353001.64307065),969352.499848407,6353001.64307065
"44",2024-11-18,"F","F8324211",TRUE,2025-02-10,"Canis lupus",FALSE,"S80-077",0.989583313465118,"F","XX",NA,NA,2024-11-18,2025,11,2025,"S80-077","F",c(994352.499848407, 6278001.64307065),994352.499848407,6278001.64307065
"45",2024-11-18,"F","F0624179",TRUE,2025-02-10,"Canis lupus",FALSE,"S83-009",0.697916686534882,"F","XY",NA,NA,2024-11-18,2025,11,2025,"S83-009","F",c(1009352.49984841, 6328001.64307065),1009352.49984841,6328001.64307065
"46",2024-11-18,"F","F0624184",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-011",0.520833313465118,"F","XX",NA,NA,2024-11-18,2025,11,2025,"S92-011","F",c(1075102.49984841, 6340001.64307065),1075102.49984841,6340001.64307065
"47",2024-11-19,"F","F8324212",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-012",0.802083313465118,"M","XY",NA,NA,2024-11-19,2025,11,2025,"S92-012","M",c(934352.499848407, 6268001.64307065),934352.499848407,6268001.64307065
"48",2024-11-19,"F","F8324213",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-012",0.796875,"M","XY",NA,NA,2024-11-19,2025,11,2025,"S92-012","M",c(935102.499848407, 6270001.64307065),935102.499848407,6270001.64307065
"49",2024-11-19,"F","F8424125",TRUE,2025-07-07,"Canis lupus",FALSE,"S95-010",0.947916686534882,"F","XX",NA,NA,2024-11-19,2025,11,2025,"S95-010","F",c(899352.499848407, 6303001.64307065),899352.499848407,6303001.64307065
"50",2024-11-19,"F","F0624188",TRUE,2025-02-10,"Canis lupus",FALSE,"S74-006",0.885416686534882,"F","XX",NA,NA,2024-11-19,2025,11,2025,"S74-006","F",c(1014352.49984841, 6353001.64307065),1014352.49984841,6353001.64307065
"51",2024-11-19,"F","F8424126",TRUE,2025-02-10,"Canis lupus",FALSE,"S78-053",0.734375,"M","XY",NA,NA,2024-11-19,2025,11,2025,"S78-053","M",c(899352.499848407, 6303001.64307065),899352.499848407,6303001.64307065
"52",2024-11-19,"F","F8424128",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-002",0.989583313465118,"M","XY",NA,NA,2024-11-19,2025,11,2025,"S92-002","M",c(899352.499848407, 6303001.64307065),899352.499848407,6303001.64307065
"53",2024-11-20,"F","F8424133",TRUE,2025-02-10,"Canis lupus",FALSE,"S86-101",0.848958313465118,"M","XY",NA,NA,2024-11-20,2025,11,2025,"S86-101","M",c(909352.499848407, 6298001.64307065),909352.499848407,6298001.64307065
"54",2024-11-20,"F","F8424134",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-111",0.958333313465118,"F","XX",NA,NA,2024-11-20,2025,11,2025,"S92-111","F",c(909352.499848407, 6298001.64307065),909352.499848407,6298001.64307065
"55",2024-11-20,"F","F0424355",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-075",0.541666686534882,"M","XY",NA,NA,2024-11-20,2025,11,2025,"S92-075","M",c(974352.499848407, 6323001.64307065),974352.499848407,6323001.64307065
"56",2024-11-20,"F","F0624186",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-039",1,"F","XX",NA,NA,2024-11-20,2025,11,2025,"S92-039","F",c(1064352.49984841, 6343001.64307065),1064352.49984841,6343001.64307065
"57",2024-11-20,"F","F0424353",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-026",1,"M","XY",NA,NA,2024-11-20,2025,11,2025,"S92-026","M",c(909352.499848407, 6308001.64307065),909352.499848407,6308001.64307065
"58",2024-11-20,"F","F0424356",TRUE,2025-05-26,"Canis lupus",FALSE,"S65-23",0.885416686534882,"M","XY",NA,NA,2024-11-20,2025,11,2025,"S65-23","M",c(974352.499848407, 6323001.64307065),974352.499848407,6323001.64307065
"59",2024-11-20,"F","F0624189",TRUE,2025-02-10,"Canis lupus",FALSE,"S83-038",0.791666686534882,"M","XY",NA,NA,2024-11-20,2025,11,2025,"S83-038","M",c(1014352.49984841, 6348001.64307065),1014352.49984841,6348001.64307065
"60",2024-11-20,"F","F0624187",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-069",1,"F","XX",NA,NA,2024-11-20,2025,11,2025,"S92-069","F",c(1054352.49984841, 6338001.64307065),1054352.49984841,6338001.64307065
"61",2024-11-21,"F","F0424357",TRUE,2025-02-10,"Canis lupus",FALSE,"S86-087",0.78125,"F","XX",NA,NA,2024-11-21,2025,11,2025,"S86-087","F",c(944352.499848407, 6348001.64307065),944352.499848407,6348001.64307065
"62",2024-11-21,"F","F8424135",TRUE,2025-02-10,"Canis lupus",FALSE,"S75-077",0.520833313465118,"F","NA",NA,NA,2024-11-21,2025,11,2025,"S75-077","F",c(889352.499848407, 6303001.64307065),889352.499848407,6303001.64307065
"63",2024-11-21,"F","F0424359",TRUE,2025-02-10,"Canis lupus",FALSE,"S57-55",0.895833313465118,"F","XX",NA,NA,2024-11-21,2025,11,2025,"S57-55","F",c(944352.499848407, 6348001.64307065),944352.499848407,6348001.64307065
"64",2024-11-21,"F","F8424138",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-040",0.614583313465118,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S92-040","M",c(869352.499848407, 6303001.64307065),869352.499848407,6303001.64307065
"65",2024-11-21,"F","F2624222",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-097",0.6875,"NI","NA",NA,NA,2024-11-21,2025,11,2025,"S92-097","NI",c(874352.499848407, 6408001.64307065),874352.499848407,6408001.64307065
"66",2024-11-21,"F","F2624223",TRUE,2025-02-10,"Canis lupus",FALSE,"S88-089",0.677083313465118,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S88-089","M",c(879352.499848407, 6408001.64307065),879352.499848407,6408001.64307065
"67",2024-11-21,"F","F2624224",TRUE,2025-02-10,"Canis lupus",FALSE,"S88-089",0.822916686534882,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S88-089","M",c(879352.499848407, 6408001.64307065),879352.499848407,6408001.64307065
"68",2024-11-21,"F","F8424137",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-103",0.5625,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S92-103","M",c(894352.499848407, 6293001.64307065),894352.499848407,6293001.64307065
"69",2024-11-21,"F","F0424358",TRUE,2025-02-10,"Canis lupus",FALSE,"S86-083",1,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S86-083","M",c(944352.499848407, 6348001.64307065),944352.499848407,6348001.64307065
"70",2024-11-21,"F","F0624190",TRUE,2025-05-26,"Canis lupus",FALSE,"S82-124",0.96875,"F","XX",NA,NA,2024-11-21,2025,11,2025,"S82-124","F",c(1044352.49984841, 6323001.64307065),1044352.49984841,6323001.64307065
"71",2024-11-21,"F","F8324217",TRUE,2025-02-10,"Canis lupus",FALSE,"S83-092",0.916666686534882,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S83-092","M",c(919352.499848407, 6253001.64307065),919352.499848407,6253001.64307065
"72",2024-11-21,"F","F0624191",TRUE,2025-04-07,"Canis lupus",FALSE,"S83-054",0.713541686534882,"M","XY",NA,NA,2024-11-21,2025,11,2025,"S83-054","M",c(1044352.49984841, 6323001.64307065),1044352.49984841,6323001.64307065
"73",2024-11-22,"F","F8424168",TRUE,2025-05-26,"Canis lupus",FALSE,"S92-002",0.828125,"M","XY",NA,NA,2024-11-22,2025,11,2025,"S92-002","M",c(900102.499848407, 6305001.64307065),900102.499848407,6305001.64307065
"74",2024-11-22,"F","F0624193",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-068",0.84375,"M","XY",NA,NA,2024-11-22,2025,11,2025,"S92-068","M",c(1059352.49984841, 6343001.64307065),1059352.49984841,6343001.64307065
"75",2024-11-23,"F","F8324219",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-030",1,"M","XY",NA,NA,2024-11-23,2025,11,2025,"S92-030","M",c(989352.499848407, 6238001.64307065),989352.499848407,6238001.64307065
"76",2024-11-23,"U","U7424005",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-136",1,"F","XX",NA,NA,2024-11-23,2025,11,2025,"S92-136","F",c(979352.499848407, 6528001.64307065),979352.499848407,6528001.64307065
"77",2024-11-23,"U","U7424006",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-137",0.989583313465118,"F","XX",NA,NA,2024-11-23,2025,11,2025,"S92-137","F",c(979352.499848407, 6528001.64307065),979352.499848407,6528001.64307065
"78",2024-11-23,"F","F7424138",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-131",0.583333313465118,"M","XY",NA,NA,2024-11-23,2025,11,2025,"S92-131","M",c(979352.499848407, 6528001.64307065),979352.499848407,6528001.64307065
"79",2024-11-23,"F","F0524213",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-101",0.979166686534882,"F","XX",NA,NA,2024-11-23,2025,11,2025,"S92-101","F",c(914352.499848407, 6358001.64307065),914352.499848407,6358001.64307065
"80",2024-11-23,"F","F0424361",TRUE,2025-02-10,"Canis lupus",FALSE,"S88-072",0.96875,"F","XX",NA,NA,2024-11-23,2025,11,2025,"S88-072","F",c(969352.499848407, 6328001.64307065),969352.499848407,6328001.64307065
"81",2024-11-23,"F","F7324183",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-129",0.588541686534882,"F","XX",NA,NA,2024-11-23,2025,11,2025,"S92-129","F",c(964352.499848407, 6503001.64307065),964352.499848407,6503001.64307065
"82",2024-11-24,"F","F1924031",TRUE,2025-02-10,"Canis lupus",FALSE,"S89-030",1,"M","XY",NA,NA,2024-11-24,2025,11,2025,"S89-030","M",c(624352.499848407, 6503001.64307065),624352.499848407,6503001.64307065
